address,weighted_balance_wei,weighted_balance,share_pct
0xe57C3DC8c3069243307F218E7D67ec94664E03b7,16092878550271401916,16.092878550271401916,0.000705
0xA7c03283E48E1bcd70f7C648eA8781fe0F343aE4,15623943011507503459,15.623943011507503459,0.000684
0xb91DE951A7f723cFA92d92a2F5b06EA605F34590,14560000000000000000,14.56,0.000638
0x248fFF1caE73F472Cdc0581e297E9A61e4cdc233,14560000000000000000,14.56,0.000638
0xd30A01BDd98246a231f36508b331E55F1c2c0628,14266853216629409390,14.26685321662940939,0.000625
0x662214a78e6253512926BFaa3c9aD26B60aCd9b3,13839726554666629514,13.839726554666629514,0.000606
0x90569D8A1cF801709577B24dA526118f0C83Fc75,11375481714316034048,11.375481714316034048,0.000498
0xA97DCb1b80D3a3b7F542Bb660dDF35b86866Dc60,10321775467246928271,10.321775467246928271,0.000452
0x23c5590196240c6d7820dA4547Cf9236D2deF706,9001798331948563584,9.001798331948563584,0.000394
0x0dDAc437952c920e1D1Ac5C50E84260C81D9D6dc,8215275489691103177,8.215275489691103177,0.000360
0xa0aBdd82fd8de27E311695F654C9f77c6F21CC67,7011053346089680200,7.0110533460896802,0.000307
0xbAF56ffb51D5CD9fE94Ea46639393FF850d64B5B,5384206806566741592,5.384206806566741592,0.000236
0xC83De81A2aa92640D8d68ddf3Fc6b4B853D77359,5101365316569786660,5.10136531656978666,0.000223
0x9f5a406C61C45336DC6CA953fB7c863a074Ab709,4562283368003874752,4.562283368003874752,0.000200
0x2F78D3aa4Da5C225984d612AEC51D00989329B52,4558111312315274075,4.558111312315274075,0.000200
0xf2DB99A98b8f36d5a078D43117731F611970faA6,3000000000000000000,3,0.000131
0x11E91BB6d1334585AA37D8F4fde3932C7960B938,2323950503216954300,2.3239505032169543,0.000102
0x36f33435BEcB9a9DE15a13fA06DC899F08418ab7,2040546126627914664,2.040546126627914664,0.000089
0xBA6717364B92842a60ad058736EeF155C09d1833,1751984497711714727,1.751984497711714727,0.000077
0x000755Fbe4A24d7478bfcFC1E561AfCE82d1ff62,1004998679399330329,1.004998679399330329,0.000044
0xF930EBBd05eF8b25B1797b9b2109DDC9B0d43063,1000000000000000000,1,0.000044
0xB262AFF1d80f6cf6CA2008c2BC54e4A22E8bf175,911541981828023799,0.911541981828023799,0.000040
0x466843a429F99689F47d7F2d463d8D25Efc5b840,780827129978586601,0.780827129978586601,0.000034
